time,open,high,low,close,tick_volume,spread,real_volume,ema_89,time_sin,time_cos,price_diff,trendline
2019-02-11,1313.14,1314.8,1303.59,1308.1,30756,15,0,1308.1,0.0,1.0,,
2019-02-12,1307.39,1314.68,1306.45,1310.57,31972,15,0,1308.1548888888888,0.0,1.0,2.4700000000000273,
2019-02-13,1311.12,1318.11,1304.94,1305.88,38150,15,0,1308.104335802469,0.0,1.0,-4.689999999999827,
2019-02-14,1306.46,1314.31,1302.34,1312.21,42537,15,0,1308.1955727846364,0.0,1.0,6.329999999999927,
2019-02-15,1312.61,1322.57,1311.29,1321.26,39684,15,0,1308.4858933894222,0.0,1.0,9.049999999999955,
2019-02-18,1317.36,1327.61,1315.81,1326.06,24647,16,0,1308.8764290918796,0.0,1.0,4.7999999999999545,
2019-02-19,1326.23,1341.81,1322.81,1341.16,40578,15,0,1309.5938417787265,0.0,1.0,15.100000000000136,
2019-02-20,1339.91,1346.66,1336.83,1338.2,44124,15,0,1310.2295341836439,0.0,1.0,-2.9600000000000364,
2019-02-21,1339.03,1341.43,1320.88,1323.3,45926,15,0,1310.5199889795629,0.0,1.0,-14.900000000000091,
2019-02-22,1324.22,1333.05,1321.5,1327.56,42277,15,0,1310.898655891128,0.0,1.0,4.259999999999991,
2019-02-25,1327.47,1332.51,1325.07,1327.24,39118,15,0,1311.2617968713253,0.0,1.0,-0.31999999999993634,
2019-02-26,1327.22,1330.15,1323.43,1328.69,37082,15,0,1311.6490902741846,0.0,1.0,1.4500000000000455,
2019-02-27,1329.03,1329.81,1316.57,1319.62,30907,0,0,1311.8262216014248,0.0,1.0,-9.070000000000164,
2019-02-28,1319.99,1327.22,1312.55,1313.08,44328,13,0,1311.8540833436152,0.0,1.0,-6.539999999999964,
2019-03-01,1314.15,1315.17,1290.12,1293.42,44869,8,0,1311.4444370470906,0.0,1.0,-19.659999999999854,
2019-03-04,1295.06,1296.96,1282.8,1286.46,40156,15,0,1310.889227334933,0.0,1.0,-6.960000000000036,
2019-03-05,1286.88,1289.55,1281.13,1287.38,37932,15,0,1310.3668000608234,0.0,1.0,0.9200000000000728,
2019-03-06,1287.23,1290.86,1283.49,1286.15,36348,15,0,1309.8286489483605,0.0,1.0,-1.2300000000000182,
2019-03-07,1286.52,1288.99,1280.77,1285.33,39802,12,0,1309.284234527286,0.0,1.0,-0.8200000000001637,
2019-03-08,1284.52,1300.69,1284.41,1298.23,44398,15,0,1309.038584871124,0.0,1.0,12.900000000000091,
2019-03-11,1296.85,1299.04,1290.42,1293.27,32454,15,0,1308.6881718739878,0.0,1.0,-4.960000000000036,1294.4798268398265
2019-03-12,1293.04,1302.19,1291.96,1301.15,31873,15,0,1308.5206569434547,0.0,1.0,7.880000000000109,1292.427186147186
2019-03-13,1300.91,1311.19,1300.87,1309.1,31237,15,0,1308.5335312336001,0.0,1.0,7.949999999999818,1292.111082251082
2019-03-14,1309.79,1310.31,1292.73,1296.08,33687,15,0,1308.2567860950755,0.0,1.0,-13.019999999999982,1289.0564935064936
2019-03-15,1296.09,1306.36,1293.93,1301.92,33130,12,0,1308.115968626296,0.0,1.0,5.8400000000001455,1287.7685714285712
2019-03-18,1302.24,1306.67,1298.13,1303.41,29029,15,0,1308.0113915457118,0.0,1.0,1.490000000000009,1287.740649350649
2019-03-19,1303.35,1310.87,1302.27,1306.41,32840,15,0,1307.9758050669182,0.0,1.0,3.0,1288.9341558441554
2019-03-20,1306.63,1316.98,1298.57,1312.34,40670,15,0,1308.0727871765423,0.0,1.0,5.929999999999836,1292.8734632034632
2019-03-21,1314.15,1320.35,1303.16,1309.28,40550,15,0,1308.0996141281746,0.0,1.0,-3.0599999999999454,1296.3620346320342
2019-03-22,1309.15,1314.92,1306.79,1313.07,42107,15,0,1308.2100671475484,0.0,1.0,3.7899999999999636,1299.4798268398265
