time,open,high,low,close,tick_volume,spread,real_volume,ema_89,time_sin,time_cos,price_diff,trendline
2019-08-05,1440.29,1469.72,1436.67,1463.72,111163,15,0,1463.72,0.0,1.0,,
2019-08-06,1467.57,1474.81,1456.33,1474.27,98081,15,0,1463.9544444444443,0.0,1.0,10.549999999999955,
2019-08-07,1474.58,1510.33,1472.18,1501.25,134373,15,0,1464.783234567901,0.0,1.0,26.980000000000018,
2019-08-08,1498.84,1509.53,1489.97,1500.88,101100,15,0,1465.5853849108364,0.0,1.0,-0.36999999999989086,
2019-08-09,1506.34,1508.09,1494.74,1497.02,88737,15,0,1466.2839319128177,0.0,1.0,-3.8600000000001273,
2019-08-12,1496.05,1519.99,1487.2,1511.72,77110,15,0,1467.293622314755,0.0,1.0,14.700000000000045,
2019-08-13,1510.51,1534.95,1479.77,1501.35,121062,15,0,1468.0504307077604,0.0,1.0,-10.370000000000118,
2019-08-14,1501.62,1524.03,1493.78,1516.18,121466,14,0,1469.1199766920324,0.0,1.0,14.830000000000155,
2019-08-15,1518.59,1526.97,1507.81,1523.42,135399,14,0,1470.3266438766539,0.0,1.0,7.240000000000009,
2019-08-16,1521.85,1527.97,1503.63,1512.1,87768,14,0,1471.2549406793948,0.0,1.0,-11.320000000000164,
2019-08-19,1509.43,1512.9,1493.18,1495.79,77501,14,0,1471.8001642198528,0.0,1.0,-16.309999999999945,
2019-08-20,1496.54,1508.55,1492.93,1507.36,63548,14,0,1472.590382792745,0.0,1.0,11.569999999999936,
2019-08-21,1506.52,1508.03,1496.43,1502.31,61239,14,0,1473.250818730684,0.0,1.0,-5.0499999999999545,
2019-08-22,1501.86,1504.55,1492.43,1498.16,66041,14,0,1473.8043560922242,0.0,1.0,-4.149999999999864,
2019-08-23,1498.54,1530.2,1493.47,1526.25,98456,14,0,1474.9698148457303,0.0,1.0,28.089999999999918,
2019-08-26,1545.74,1555.21,1524.93,1527.38,127966,14,0,1476.1344856269363,0.0,1.0,1.1300000000001091,
2019-08-27,1527.27,1544.65,1525.63,1542.63,83672,14,0,1477.6121637241156,0.0,1.0,15.25,
2019-08-28,1540.96,1546.83,1531.79,1541.01,89182,14,0,1479.0210045302463,0.0,1.0,-1.6200000000001182,
2019-08-29,1539.02,1550.3,1519.52,1526.87,107263,14,0,1480.084315540685,0.0,1.0,-14.1400000000001,
2019-08-30,1527.53,1533.11,1516.93,1520.55,92368,14,0,1480.9835529731142,0.0,1.0,-6.319999999999936,
2019-09-02,1529.39,1533.77,1519.22,1528.96,50614,14,0,1482.0496962403784,0.0,1.0,8.410000000000082,
2019-09-03,1526.91,1549.68,1521.61,1548.7,100722,14,0,1483.5308141017033,0.0,1.0,19.74000000000001,
2019-09-04,1546.53,1556.98,1533.78,1552.6,95612,14,0,1485.065684899443,0.0,1.0,3.8999999999998636,
2019-09-05,1551.44,1552.95,1506.19,1518.89,103092,14,0,1485.8173363461221,0.0,1.0,-33.70999999999981,
2019-09-06,1518.45,1527.81,1502.47,1506.38,109340,14,0,1486.2742844273193,0.0,1.0,-12.509999999999991,
2019-09-09,1503.51,1515.43,1497.54,1498.81,81607,14,0,1486.5528558844899,0.0,1.0,-7.570000000000164,
2019-09-10,1498.32,1500.97,1484.45,1485.77,87411,14,0,1486.5354590870566,0.0,1.0,-13.039999999999964,
2019-09-11,1486.28,1498.23,1485.99,1496.52,66314,14,0,1486.757337774011,0.0,1.0,10.75,
2019-09-12,1496.74,1524.13,1489.16,1498.97,93718,14,0,1487.028730267922,0.0,1.0,2.4500000000000455,
2019-09-13,1497.62,1508.94,1485.71,1488.55,73329,14,0,1487.062536261968,0.0,1.0,-10.420000000000073,
2019-09-16,1500.71,1512.09,1495.83,1498.4,84660,14,0,1487.3144799005909,0.0,1.0,9.850000000000136,
2019-09-17,1498.49,1507.03,1493.39,1501.32,67403,14,0,1487.6257136805777,0.0,1.0,2.9199999999998454,
2019-09-18,1501.47,1511.54,1482.97,1493.24,65272,14,0,1487.7504755987873,0.0,1.0,-8.079999999999927,
2019-09-19,1492.89,1504.45,1488.92,1498.47,74260,14,0,1487.9886872521477,0.0,1.0,5.230000000000018,
2019-09-20,1499.19,1517.01,1497.89,1516.27,60729,14,0,1488.6171608687666,0.0,1.0,17.799999999999955,
2019-09-23,1512.63,1526.77,1511.48,1522.12,71616,14,0,1489.3616684050162,0.0,1.0,5.849999999999909,
2019-09-24,1523.09,1535.63,1515.55,1531.17,77381,14,0,1490.2907424404602,0.0,1.0,9.050000000000182,
2019-09-25,1533.29,1535.08,1500.4,1503.64,84604,14,0,1490.5873926084498,0.0,1.0,-27.529999999999973,
2019-09-26,1503.66,1512.25,1500.25,1504.56,74798,14,0,1490.8978949949287,0.0,1.0,0.9199999999998454,
2019-09-27,1503.95,1507.34,1486.79,1496.61,87365,14,0,1491.0248306617082,0.0,1.0,-7.9500000000000455,
2019-09-30,1496.25,1500.41,1464.43,1472.29,85679,14,0,1490.6085010914478,0.0,1.0,-24.319999999999936,
2019-10-01,1472.93,1487.19,1459.03,1479.38,91422,14,0,1490.3589788449713,0.0,1.0,7.0900000000001455,
2019-10-02,1480.06,1505.02,1474.44,1499.92,90625,14,0,1490.5714459817495,0.0,1.0,20.539999999999964,
2019-10-03,1498.96,1519.48,1495.76,1504.83,93063,14,0,1490.8883027377105,0.0,1.0,4.9099999999998545,
2019-10-04,1506.04,1515.54,1495.77,1504.5,88317,14,0,1491.1907848990948,0.0,1.0,-0.32999999999992724,
2019-10-07,1508.53,1509.25,1487.97,1493.27,86523,14,0,1491.236989679115,0.0,1.0,-11.230000000000018,
2019-10-08,1493.37,1509.65,1486.81,1505.48,107974,14,0,1491.553501019579,0.0,1.0,12.210000000000036,
2019-10-09,1506.45,1512.34,1499.8,1505.42,86218,14,0,1491.8616454413661,0.0,1.0,-0.05999999999994543,
2019-10-10,1505.7,1516.98,1491.02,1493.39,115499,14,0,1491.8956088760026,0.0,1.0,-12.029999999999973,
2019-10-11,1494.46,1503.13,1473.93,1487.93,118368,14,0,1491.8074842343135,0.0,1.0,-5.460000000000036,
